BLOCKCE20,GEOID20,NAME20,HOUSING20,POP20,geometry,pool_count,visitors_per_1000_residents
2006,230010202002006,Block 2006,19,26,"POLYGON ((-70.212643 44.106333, -70.211173 44.105916, -70.211638 44.105088, -70.212948 44.105739, -70.212643 44.106333))",1,38.46
2010,230010203012010,Block 2010,0,0,"POLYGON ((-70.204318 44.10168, -70.202928 44.103132, -70.202738 44.10332, -70.202663 44.103396, -70.202524 44.103551, -70.200915 44.102757, -70.200365 44.102486, -70.200189 44.102396, -70.201507 44.101136, -70.201558 44.10106, -70.201579 44.101013, -70.201583 44.100937, -70.201558 44.100746, -70.201525 44.100508, -70.202545 44.100417, -70.20257 44.100553, -70.202598 44.100669, -70.202648 44.100815, -70.202694 44.100881, -70.202729 44.100909, -70.203046 44.10107, -70.203484 44.101273, -70.203628 44.10134, -70.204318 44.10168))",6,0.0
3003,230010203013003,Block 3003,23,40,"POLYGON ((-70.20754 44.103538, -70.207529 44.10355, -70.207359 44.103727, -70.207241 44.103851, -70.206832 44.103588, -70.205713 44.104787, -70.205242 44.104574, -70.205474 44.10433, -70.206826 44.102913, -70.207726 44.103345, -70.20754 44.103538))",4,100.0
3004,230010203013004,Block 3004,15,21,"POLYGON ((-70.206826 44.102913, -70.205474 44.10433, -70.204648 44.103929, -70.206031 44.102509, -70.206826 44.102913))",2,95.24
3010,230010203013010,Block 3010,60,106,"POLYGON ((-70.209011 44.103354, -70.208614 44.103801, -70.208018 44.103495, -70.207726 44.103345, -70.208931 44.1021, -70.20975 44.102522, -70.209011 44.103354))",3,28.3
1001,230010203021001,Block 1001,38,82,"POLYGON ((-70.198239 44.099571, -70.197165 44.100795, -70.19712 44.100859, -70.19708 44.1009, -70.19703 44.100876, -70.196871 44.10078, -70.196662 44.100672, -70.196033 44.10037, -70.196337 44.100065, -70.196521 44.099888, -70.196675 44.099747, -70.196782 44.099633, -70.196859 44.099541, -70.196742 44.099478, -70.196386 44.09932, -70.195914 44.099091, -70.195832 44.099044, -70.195985 44.098884, -70.196233 44.098609, -70.196692 44.098839, -70.197932 44.099435, -70.198239 44.099571))",6,73.17
1002,230010203021002,Block 1002,52,100,"POLYGON ((-70.200587 44.099169, -70.199541 44.100342, -70.199218 44.10071, -70.19708 44.1009, -70.19712 44.100859, -70.197165 44.100795, -70.198239 44.099571, -70.198754 44.099006, -70.199222 44.098496, -70.199311 44.098391, -70.199333 44.098458, -70.199495 44.098527, -70.199698 44.098638, -70.200143 44.098932, -70.200278 44.099008, -70.200587 44.099169))",1,10.0
1006,230010203021006,Block 1006,23,56,"POLYGON ((-70.206565 44.100683, -70.206545 44.100748, -70.206507 44.100799, -70.205237 44.102123, -70.204318 44.10168, -70.205772 44.100176, -70.205867 44.100119, -70.205923 44.100144, -70.206436 44.100339, -70.206524 44.100368, -70.206532 44.100486, -70.206547 44.100595, -70.206565 44.100683))",3,53.57
1009,230010203021009,Block 1009,128,224,"POLYGON ((-70.212103 44.100055, -70.211877 44.100278, -70.211597 44.100578, -70.211552 44.100624, -70.210739 44.101453, -70.210345 44.101879, -70.20975 44.102522, -70.208931 44.1021, -70.210599 44.100377, -70.210757 44.100192, -70.210775 44.100134, -70.21076 44.100101, -70.211032 44.100086, -70.211867 44.100054, -70.212064 44.100052, -70.212103 44.100055))",8,35.71
1010,230010203021010,Block 1010,69,109,"POLYGON ((-70.212 44.102449, -70.211498 44.103349, -70.210843 44.103047, -70.209796 44.102563, -70.20975 44.102522, -70.210345 44.101879, -70.210739 44.101453, -70.212269 44.101974, -70.212 44.102449))",2,18.35
1011,230010203021011,Block 1011,121,172,"POLYGON ((-70.213188 44.10042, -70.21284 44.101015, -70.212269 44.101974, -70.210739 44.101453, -70.211552 44.100624, -70.211597 44.100578, -70.211877 44.100278, -70.212103 44.100055, -70.213291 44.100226, -70.213188 44.10042))",17,98.84
1012,230010203021012,Block 1012,9,28,"POLYGON ((-70.207062 44.100385, -70.206851 44.100401, -70.206661 44.100395, -70.206564 44.100379, -70.206524 44.100368, -70.206436 44.100339, -70.205923 44.100144, -70.205867 44.100119, -70.205922 44.100058, -70.206056 44.099936, -70.206239 44.099793, -70.206279 44.099774, -70.206463 44.099708, -70.206617 44.099658, -70.206995 44.100267, -70.207062 44.100385))",1,35.71
1022,230010203021022,Block 1022,13,31,"POLYGON ((-70.204621 44.098997, -70.204566 44.098951, -70.204514 44.098915, -70.203956 44.098616, -70.203206 44.098237, -70.204441 44.097839, -70.205065 44.098852, -70.204621 44.098997))",4,129.03
1000,230010203031000,Block 1000,35,74,"POLYGON ((-70.208046 44.100301, -70.207785 44.100321, -70.207062 44.100385, -70.206995 44.100267, -70.206617 44.099658, -70.207477 44.09938, -70.207519 44.099451, -70.207903 44.100045, -70.208046 44.100301))",2,27.03
1001,230010203031001,Block 1001,40,82,"POLYGON ((-70.209036 44.100228, -70.208046 44.100301, -70.207903 44.100045, -70.207519 44.099451, -70.207477 44.09938, -70.208343 44.0991, -70.208952 44.100068, -70.209036 44.100228))",1,12.2
1002,230010203031002,Block 1002,55,116,"POLYGON ((-70.20975 44.100176, -70.209358 44.100205, -70.209036 44.100228, -70.208952 44.100068, -70.208343 44.0991, -70.208736 44.098971, -70.209213 44.09882, -70.210053 44.100159, -70.20975 44.100176))",5,43.1
1003,230010203031003,Block 1003,60,122,"POLYGON ((-70.211032 44.100086, -70.21076 44.100101, -70.210053 44.100159, -70.209213 44.09882, -70.210089 44.098542, -70.210264 44.098831, -70.21057 44.099306, -70.210939 44.099905, -70.211032 44.100086))",9,73.77
1004,230010203031004,Block 1004,64,126,"POLYGON ((-70.212064 44.100052, -70.211867 44.100054, -70.211032 44.100086, -70.210939 44.099905, -70.21057 44.099306, -70.210264 44.098831, -70.210089 44.098542, -70.210485 44.098413, -70.210956 44.098259, -70.211192 44.098641, -70.212025 44.099988, -70.212103 44.100055, -70.212064 44.100052))",2,15.87
1005,230010203031005,Block 1005,46,109,"POLYGON ((-70.212458 44.099764, -70.212103 44.100055, -70.212025 44.099988, -70.211192 44.098641, -70.210956 44.098259, -70.211818 44.097979, -70.212056 44.098353, -70.212768 44.099474, -70.212458 44.099764))",3,27.52
1007,230010203031007,Block 1007,71,109,"POLYGON ((-70.214344 44.098812, -70.213812 44.099528, -70.213697 44.099688, -70.213365 44.100116, -70.213291 44.100226, -70.213196 44.100153, -70.212768 44.099474, -70.213418 44.09881, -70.213552 44.098679, -70.213757 44.098478, -70.213887 44.098358, -70.213958 44.098284, -70.214007 44.098242, -70.21405 44.098216, -70.214194 44.098432, -70.214414 44.098798, -70.214344 44.098812))",4,36.7
1008,230010203031008,Block 1008,115,123,"POLYGON ((-70.214007 44.098242, -70.213958 44.098284, -70.213887 44.098358, -70.213757 44.098478, -70.213552 44.098679, -70.213418 44.09881, -70.212768 44.099474, -70.212056 44.098353, -70.211818 44.097979, -70.21269 44.097699, -70.212756 44.097674, -70.212898 44.097626, -70.213278 44.097499, -70.213559 44.09741, -70.21405 44.098216, -70.214007 44.098242))",9,73.17
1010,230010203031010,Block 1010,55,132,"POLYGON ((-70.208736 44.098971, -70.208343 44.0991, -70.207998 44.098543, -70.207675 44.098007, -70.208543 44.09772, -70.209213 44.09882, -70.208736 44.098971))",7,53.03
1011,230010203031011,Block 1011,51,110,"POLYGON ((-70.208343 44.0991, -70.207477 44.09938, -70.207328 44.099124, -70.206807 44.098286, -70.207675 44.098007, -70.207998 44.098543, -70.208343 44.0991))",1,9.09
1012,230010203031012,Block 1012,66,165,"POLYGON ((-70.207477 44.09938, -70.206617 44.099658, -70.206274 44.09912, -70.205936 44.098568, -70.206807 44.098286, -70.207328 44.099124, -70.207477 44.09938))",10,60.61
1014,230010203031014,Block 1014,47,92,"POLYGON ((-70.207675 44.098007, -70.206807 44.098286, -70.206183 44.097279, -70.206793 44.097082, -70.207063 44.096995, -70.207246 44.097307, -70.207675 44.098007))",12,130.43
1015,230010203031015,Block 1015,70,114,"POLYGON ((-70.208543 44.09772, -70.207675 44.098007, -70.207246 44.097307, -70.207063 44.096995, -70.207922 44.096721, -70.208543 44.09772))",2,17.54
1016,230010203031016,Block 1016,34,73,"POLYGON ((-70.209407 44.097444, -70.208543 44.09772, -70.207922 44.096721, -70.208792 44.096438, -70.209407 44.097444))",4,54.79
1020,230010203031020,Block 1020,86,105,"POLYGON ((-70.211818 44.097979, -70.210956 44.098259, -70.210279 44.09716, -70.211143 44.096882, -70.211818 44.097979))",5,47.62
1021,230010203031021,Block 1021,55,132,"POLYGON ((-70.21269 44.097699, -70.211818 44.097979, -70.211143 44.096882, -70.212009 44.096604, -70.21269 44.097699))",4,30.3
1023,230010203031023,Block 1023,51,89,"POLYGON ((-70.212887 44.096321, -70.212009 44.096604, -70.211806 44.096262, -70.21171 44.096117, -70.211392 44.095605, -70.212259 44.095325, -70.21271 44.096052, -70.212887 44.096321))",2,22.47
1024,230010203031024,Block 1024,10,18,"POLYGON ((-70.212009 44.096604, -70.211143 44.096882, -70.210765 44.096281, -70.210522 44.095884, -70.211392 44.095605, -70.21171 44.096117, -70.211806 44.096262, -70.212009 44.096604))",3,166.67
1025,230010203031025,Block 1025,54,72,"POLYGON ((-70.211143 44.096882, -70.210279 44.09716, -70.209658 44.09616, -70.210522 44.095884, -70.210765 44.096281, -70.211143 44.096882))",14,194.44
